 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 11.3066  1.97785653E+06  1.97785653E+06  1.97785653E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.3709  2.02070989E+06  2.02070989E+06  2.02070989E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.4351  2.05294943E+06  2.05294943E+06  2.05294943E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.4994  2.06679987E+06  2.06679987E+06  2.06679987E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.5636  2.05118929E+06  2.05118929E+06  2.05118929E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.6278  2.00455829E+06  2.00455829E+06  2.00455829E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.6921  1.94357475E+06  1.94357475E+06  1.94357475E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.7563  1.89808172E+06  1.89808172E+06  1.89808172E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.8206  1.89090549E+06  1.89090549E+06  1.89090549E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.8848  1.91748085E+06  1.91748085E+06  1.91748085E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.9491  1.94931541E+06  1.94931541E+06  1.94931541E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.0133  1.95581612E+06  1.95581612E+06  1.95581612E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.0775  1.92564346E+06  1.92564346E+06  1.92564346E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.1418  1.87451919E+06  1.87451919E+06  1.87451919E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.2060  1.83351512E+06  1.83351512E+06  1.83351512E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.2703  1.82437697E+06  1.82437697E+06  1.82437697E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.3345  1.84664366E+06  1.84664366E+06  1.84664366E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.3988  1.88846630E+06  1.88846630E+06  1.88846630E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.4630  1.93953289E+06  1.93953289E+06  1.93953289E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.5272  1.99143933E+06  1.99143933E+06  1.99143933E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.5915  2.03243110E+06  2.03243110E+06  2.03243110E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.6557  2.04853310E+06  2.04853310E+06  2.04853310E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.7200  2.03267392E+06  2.03267392E+06  2.03267392E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.7842  1.99537146E+06  1.99537146E+06  1.99537146E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.8485  1.96398307E+06  1.96398307E+06  1.96398307E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.9127  1.96324677E+06  1.96324677E+06  1.96324677E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.9769  1.99338297E+06  1.99338297E+06  1.99338297E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.0412  2.03195532E+06  2.03195532E+06  2.03195532E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.1054  2.05296183E+06  2.05296183E+06  2.05296183E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.1697  2.04112035E+06  2.04112035E+06  2.04112035E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.2339  1.99584598E+06  1.99584598E+06  1.99584598E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.2981  1.93041877E+06  1.93041877E+06  1.93041877E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.3624  1.86790074E+06  1.86790074E+06  1.86790074E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.4266  1.83054950E+06  1.83054950E+06  1.83054950E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.4909  1.82719700E+06  1.82719700E+06  1.82719700E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.5551  1.84891358E+06  1.84891358E+06  1.84891358E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.6194  1.87681311E+06  1.87681311E+06  1.87681311E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.6836  1.89174424E+06  1.89174424E+06  1.89174424E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.7478  1.88386764E+06  1.88386764E+06  1.88386764E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.8121  1.85844214E+06  1.85844214E+06  1.85844214E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.8763  1.83285373E+06  1.83285373E+06  1.83285373E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 13.9406  1.82135836E+06  1.82135836E+06  1.82135836E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 14.0048  1.82197356E+06  1.82197356E+06  1.82197356E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
 14.0691  1.82205501E+06  1.82205501E+06  1.82205501E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
