 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.45098000E+01  0.12530700E+07  0.12530700E+07  0.12530700E+07  0.87834667E+04  0.87834667E+04  0.87834667E+04
  0.45450000E+01  0.12617199E+07  0.12617199E+07  0.12617199E+07  0.88520237E+04  0.88520237E+04  0.88520237E+04
  0.45802000E+01  0.12652812E+07  0.12652812E+07  0.12652812E+07  0.89205806E+04  0.89205806E+04  0.89205806E+04
  0.46155000E+01  0.12654095E+07  0.12654095E+07  0.12654095E+07  0.84153301E+04  0.84153301E+04  0.84153301E+04
  0.46507000E+01  0.12645843E+07  0.12645843E+07  0.12645843E+07  0.82314609E+04  0.82314609E+04  0.82314609E+04
  0.46859000E+01  0.12658496E+07  0.12658496E+07  0.12658496E+07  0.82937628E+04  0.82937628E+04  0.82937628E+04
  0.47212000E+01  0.12721364E+07  0.12721364E+07  0.12721364E+07  0.75659939E+04  0.75659939E+04  0.75659939E+04
  0.47564000E+01  0.12856058E+07  0.12856058E+07  0.12856058E+07  0.83499251E+04  0.83499251E+04  0.83499251E+04
  0.47916000E+01  0.13075112E+07  0.13075112E+07  0.13075112E+07  0.90856951E+04  0.90856951E+04  0.90856951E+04
  0.48269000E+01  0.13380751E+07  0.13380751E+07  0.13380751E+07  0.10413940E+05  0.10413940E+05  0.10413940E+05
  0.48621000E+01  0.13765867E+07  0.13765867E+07  0.13765867E+07  0.11049734E+05  0.11049734E+05  0.11049734E+05
  0.48973000E+01  0.14218848E+07  0.14218848E+07  0.14218848E+07  0.12867373E+05  0.12867373E+05  0.12867373E+05
  0.49326000E+01  0.14725560E+07  0.14725560E+07  0.14725560E+07  0.14009393E+05  0.14009393E+05  0.14009393E+05
  0.49678000E+01  0.15271106E+07  0.15271106E+07  0.15271106E+07  0.15326041E+05  0.15326041E+05  0.15326041E+05
  0.50030000E+01  0.15843247E+07  0.15843247E+07  0.15843247E+07  0.16050577E+05  0.16050577E+05  0.16050577E+05
  0.50383000E+01  0.16433666E+07  0.16433666E+07  0.16433666E+07  0.17397032E+05  0.17397032E+05  0.17397032E+05
  0.50735000E+01  0.17036976E+07  0.17036976E+07  0.17036976E+07  0.18492748E+05  0.18492748E+05  0.18492748E+05
  0.51087000E+01  0.17652290E+07  0.17652290E+07  0.17652290E+07  0.19024834E+05  0.19024834E+05  0.19024834E+05
  0.51440000E+01  0.18280594E+07  0.18280594E+07  0.18280594E+07  0.20234365E+05  0.20234365E+05  0.20234365E+05
  0.51792000E+01  0.18920332E+07  0.18920332E+07  0.18920332E+07  0.20718513E+05  0.20718513E+05  0.20718513E+05
  0.52144000E+01  0.19566585E+07  0.19566585E+07  0.19566585E+07  0.21390706E+05  0.21390706E+05  0.21390706E+05
  0.52497000E+01  0.20208199E+07  0.20208199E+07  0.20208199E+07  0.21375776E+05  0.21375776E+05  0.21375776E+05
