 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.25604000E+01  0.41531450E+06  0.41531450E+06  0.41531450E+06  0.58477250E+04  0.58477250E+04  0.58477250E+04
  0.25855000E+01  0.42756113E+06  0.42756113E+06  0.42756113E+06  0.65021762E+04  0.65021762E+04  0.65021762E+04
  0.26106000E+01  0.44247041E+06  0.44247041E+06  0.44247041E+06  0.70478118E+04  0.70478118E+04  0.70478118E+04
  0.26357000E+01  0.46058964E+06  0.46058964E+06  0.46058964E+06  0.81329234E+04  0.81329234E+04  0.81329234E+04
  0.26608000E+01  0.48212818E+06  0.48212818E+06  0.48212818E+06  0.91796750E+04  0.91796750E+04  0.91796750E+04
  0.26859000E+01  0.50696407E+06  0.50696407E+06  0.50696407E+06  0.10185854E+05  0.10185854E+05  0.10185854E+05
  0.27110000E+01  0.53466490E+06  0.53466490E+06  0.53466490E+06  0.11017441E+05  0.11017441E+05  0.11017441E+05
  0.27361000E+01  0.56454529E+06  0.56454529E+06  0.56454529E+06  0.11900859E+05  0.11900859E+05  0.11900859E+05
  0.27612000E+01  0.59576488E+06  0.59576488E+06  0.59576488E+06  0.12684071E+05  0.12684071E+05  0.12684071E+05
  0.27863000E+01  0.62739240E+06  0.62739240E+06  0.62739240E+06  0.13308083E+05  0.13308083E+05  0.13308083E+05
  0.28114000E+01  0.65850530E+06  0.65850530E+06  0.65850530E+06  0.13726542E+05  0.13726542E+05  0.13726542E+05
  0.28365000E+01  0.68825680E+06  0.68825680E+06  0.68825680E+06  0.13984016E+05  0.13984016E+05  0.13984016E+05
  0.28616000E+01  0.71595307E+06  0.71595307E+06  0.71595307E+06  0.14046156E+05  0.14046156E+05  0.14046156E+05
  0.28867000E+01  0.74110217E+06  0.74110217E+06  0.74110217E+06  0.14154206E+05  0.14154206E+05  0.14154206E+05
  0.29118000E+01  0.76346730E+06  0.76346730E+06  0.76346730E+06  0.13819532E+05  0.13819532E+05  0.13819532E+05
  0.29369000E+01  0.78308524E+06  0.78308524E+06  0.78308524E+06  0.13699326E+05  0.13699326E+05  0.13699326E+05
  0.29620000E+01  0.80027978E+06  0.80027978E+06  0.80027978E+06  0.13107394E+05  0.13107394E+05  0.13107394E+05
  0.29871000E+01  0.81560801E+06  0.81560801E+06  0.81560801E+06  0.12807042E+05  0.12807042E+05  0.12807042E+05
  0.30122000E+01  0.82982508E+06  0.82982508E+06  0.82982508E+06  0.12488289E+05  0.12488289E+05  0.12488289E+05
  0.30373000E+01  0.84375378E+06  0.84375378E+06  0.84375378E+06  0.12227459E+05  0.12227459E+05  0.12227459E+05
  0.30624000E+01  0.85818747E+06  0.85818747E+06  0.85818747E+06  0.12046213E+05  0.12046213E+05  0.12046213E+05
  0.30875000E+01  0.87377180E+06  0.87377180E+06  0.87377180E+06  0.12144946E+05  0.12144946E+05  0.12144946E+05
  0.31126000E+01  0.89088824E+06  0.89088824E+06  0.89088824E+06  0.12715863E+05  0.12715863E+05  0.12715863E+05
  0.31377000E+01  0.90959920E+06  0.90959920E+06  0.90959920E+06  0.13181085E+05  0.13181085E+05  0.13181085E+05
  0.31628000E+01  0.92966612E+06  0.92966612E+06  0.92966612E+06  0.13644787E+05  0.13644787E+05  0.13644787E+05
  0.31879000E+01  0.95055775E+06  0.95055775E+06  0.95055775E+06  0.14380235E+05  0.14380235E+05  0.14380235E+05
  0.32131000E+01  0.97157398E+06  0.97157398E+06  0.97157398E+06  0.14779057E+05  0.14779057E+05  0.14779057E+05
  0.32382000E+01  0.99183498E+06  0.99183498E+06  0.99183498E+06  0.15145058E+05  0.15145058E+05  0.15145058E+05
  0.32633000E+01  0.10105397E+07  0.10105397E+07  0.10105397E+07  0.15195316E+05  0.15195316E+05  0.15195316E+05
  0.32884000E+01  0.10269779E+07  0.10269779E+07  0.10269779E+07  0.15277801E+05  0.15277801E+05  0.15277801E+05
  0.33135000E+01  0.10406302E+07  0.10406302E+07  0.10406302E+07  0.15394415E+05  0.15394415E+05  0.15394415E+05
  0.33386000E+01  0.10512232E+07  0.10512232E+07  0.10512232E+07  0.15175194E+05  0.15175194E+05  0.15175194E+05
  0.33637000E+01  0.10587513E+07  0.10587513E+07  0.10587513E+07  0.14600564E+05  0.14600564E+05  0.14600564E+05
  0.33888000E+01  0.10634846E+07  0.10634846E+07  0.10634846E+07  0.14374101E+05  0.14374101E+05  0.14374101E+05
  0.34139000E+01  0.10659047E+07  0.10659047E+07  0.10659047E+07  0.13656729E+05  0.13656729E+05  0.13656729E+05
  0.34390000E+01  0.10666360E+07  0.10666360E+07  0.10666360E+07  0.13421197E+05  0.13421197E+05  0.13421197E+05
  0.34641000E+01  0.10663524E+07  0.10663524E+07  0.10663524E+07  0.13081768E+05  0.13081768E+05  0.13081768E+05
  0.34892000E+01  0.10656611E+07  0.10656611E+07  0.10656611E+07  0.12724507E+05  0.12724507E+05  0.12724507E+05
  0.35143000E+01  0.10650464E+07  0.10650464E+07  0.10650464E+07  0.12217379E+05  0.12217379E+05  0.12217379E+05
  0.35394000E+01  0.10647864E+07  0.10647864E+07  0.10647864E+07  0.11806102E+05  0.11806102E+05  0.11806102E+05
  0.35645000E+01  0.10649584E+07  0.10649584E+07  0.10649584E+07  0.11889826E+05  0.11889826E+05  0.11889826E+05
  0.35896000E+01  0.10654668E+07  0.10654668E+07  0.10654668E+07  0.11452223E+05  0.11452223E+05  0.11452223E+05
  0.36147000E+01  0.10660887E+07  0.10660887E+07  0.10660887E+07  0.11532302E+05  0.11532302E+05  0.11532302E+05
  0.36398000E+01  0.10665421E+07  0.10665421E+07  0.10665421E+07  0.11612381E+05  0.11612381E+05  0.11612381E+05
