#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  10
# Band-Index    1
   4.67466     14.555716     14.670949
   4.54216     13.074081     13.210876
   4.40965     11.728692     11.887695
   4.27715     10.693355     10.876398
   4.14465     10.693346     10.876389
   4.01214     11.728676     11.887679
   3.87964     13.074063     13.210858
   3.74714     14.555697     14.670929
   3.61463     16.135378     16.228117
   3.48213     17.795098     17.862710
   3.34962     19.509255     19.545609
   3.21712     21.203741     21.192965
   3.08462     22.589905     22.501204
   2.95211     23.074333     22.945438
   2.95211     23.074333     22.945439
   2.79674     22.363721     22.298223
   2.64136     20.224509     20.260442
   2.48599     17.706054     17.786937
   2.33062     15.219305     15.330952
   2.17524     12.930728     13.072604
   2.01987     11.259237     11.435439
   1.86449     11.308771     11.486917
   1.70912     12.553202     12.709612
   1.55374     14.191575     14.326391
   1.39837     16.038273     16.150968
