 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.14376000E+01  0.31459712E+06  0.31794315E+06  0.56956030E+06  0.70518914E+04  0.26067417E+04  0.29726732E+04
  0.14496000E+01  0.32063991E+06  0.32426288E+06  0.57149710E+06  0.74302288E+04  0.26285009E+04  0.33849525E+04
  0.14616000E+01  0.32687219E+06  0.33077291E+06  0.57394379E+06  0.78736099E+04  0.28116650E+04  0.36380731E+04
  0.14736000E+01  0.33331916E+06  0.33748836E+06  0.57689630E+06  0.82567738E+04  0.29197733E+04  0.38950656E+04
  0.14855000E+01  0.33998118E+06  0.34439502E+06  0.58030940E+06  0.85833717E+04  0.29433518E+04  0.40519559E+04
  0.14975000E+01  0.34692145E+06  0.35154980E+06  0.58424751E+06  0.90552873E+04  0.31276798E+04  0.43222983E+04
  0.15095000E+01  0.35413843E+06  0.35894159E+06  0.58865835E+06  0.93452230E+04  0.32455100E+04  0.47521614E+04
  0.15215000E+01  0.36164800E+06  0.36657499E+06  0.59352136E+06  0.97096199E+04  0.32713107E+04  0.49696092E+04
  0.15335000E+01  0.36946325E+06  0.37445658E+06  0.59881572E+06  0.10025926E+05  0.33968863E+04  0.52017967E+04
  0.15454000E+01  0.37756892E+06  0.38256585E+06  0.60447802E+06  0.10377337E+05  0.34232462E+04  0.52161923E+04
  0.15574000E+01  0.38602249E+06  0.39095470E+06  0.61055986E+06  0.10588880E+05  0.34498277E+04  0.54728102E+04
  0.15694000E+01  0.39479950E+06  0.39959911E+06  0.61699530E+06  0.10896074E+05  0.37453205E+04  0.57352045E+04
  0.15814000E+01  0.40390172E+06  0.40850099E+06  0.62375861E+06  0.11083358E+05  0.37739581E+04  0.57833238E+04
  0.15934000E+01  0.41332479E+06  0.41765590E+06  0.63081973E+06  0.11286521E+05  0.39166382E+04  0.58610442E+04
  0.16053000E+01  0.42303372E+06  0.42703648E+06  0.63810840E+06  0.11505415E+05  0.39458888E+04  0.59338643E+04
  0.16173000E+01  0.43307049E+06  0.43669053E+06  0.64567911E+06  0.11603000E+05  0.40967787E+04  0.60581804E+04
