#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   0.71371    -18.404853    -18.404853
   0.67614    -18.397374    -18.397374
   0.63858    -18.390603    -18.390603
   0.60102    -18.384549    -18.384549
   0.56345    -18.379471    -18.379471
   0.52589    -18.375689    -18.375689
   0.48833    -18.372261    -18.372261
   0.45076    -18.370243    -18.370243
   0.41320    -18.369294    -18.369294
   0.37564    -18.369428    -18.369428
   0.33807    -18.370643    -18.370643
   0.30051    -18.372923    -18.372923
   0.26295    -18.376617    -18.376616
   0.22538    -18.380641    -18.380641
   0.18782    -18.385631    -18.385631
   0.15025    -18.392197    -18.392197
   0.11269    -18.399146    -18.399146
   0.07513    -18.406778    -18.406778
   0.03756    -18.411752    -18.411752
   0.00000    -18.406009    -18.406009
 
# Band-Index    3
   0.00000     -6.694786     -6.694786
   0.03756     -6.585386     -6.585386
   0.07513     -6.509264     -6.509264
   0.11269     -6.587320     -6.587320
   0.15025     -6.657466     -6.657466
   0.18782     -6.714165     -6.714165
   0.22538     -6.757396     -6.757396
   0.26295     -6.785520     -6.785520
   0.30051     -6.798898     -6.798898
   0.33807     -6.797415     -6.797415
   0.37564     -6.778812     -6.778812
   0.41320     -6.747773     -6.747773
   0.45076     -6.702803     -6.702803
   0.48833     -6.642883     -6.642883
   0.52589     -6.569080     -6.569080
   0.56345     -6.480418     -6.480418
   0.60102     -6.381496     -6.381496
   0.63858     -6.283418     -6.283418
   0.67614     -6.336388     -6.336388
   0.71371     -6.442506     -6.442506
   0.75127     -6.550636     -6.550636
   0.78884     -6.660966     -6.660966
   0.82640     -6.767705     -6.767705
   0.86396     -6.871743     -6.871743
   0.90153     -6.974086     -6.974086
   0.93909     -7.071451     -7.071451
   0.97665     -7.164388     -7.164388
   1.01422     -7.251851     -7.251850
   1.05178     -7.334456     -7.334456
   1.08934     -7.412023     -7.412023
   1.12691     -7.482395     -7.482395
   1.16447     -7.546388     -7.546388
   1.20203     -7.603084     -7.603085
   1.23960     -7.653276     -7.653276
   1.27716     -7.696147     -7.696147
   1.31473     -7.731337     -7.731337
   1.35229     -7.758858     -7.758858
   1.38985     -7.778595     -7.778595
   1.42742     -7.790386     -7.790386
   1.46498     -7.794351     -7.794351
   1.46498     -7.794351     -7.794351
   1.48171     -7.792767     -7.792767
   1.49844     -7.788010     -7.788010
   1.51517     -7.780087     -7.780087
   1.53190     -7.769618     -7.769618
   1.54863     -7.755418     -7.755418
   1.56536     -7.738097     -7.738097
   1.58209     -7.717681     -7.717681
   1.59881     -7.694195     -7.694195
   1.61554     -7.667673     -7.667673
   1.63227     -7.638152     -7.638152
   1.64900     -7.603045     -7.603045
   1.66573     -7.567774     -7.567774
   1.68246     -7.529541     -7.529541
   1.69919     -7.488477     -7.488477
   1.71592     -7.444632     -7.444632
   1.73265     -7.398061     -7.398061
   1.74938     -7.348818     -7.348818
   1.76611     -7.296962     -7.296962
   1.78284     -7.242554     -7.242554
   1.79957     -7.185658     -7.185658
   1.81630     -7.125503     -7.125503
   1.83303     -7.064582     -7.064582
   1.84976     -7.000623     -7.000623
