#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   4.10891    -18.516163  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.08626    -18.514718  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.06361    -18.513535  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.04095    -18.511865  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   4.01830    -18.510837  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.99565    -18.509708  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.97300    -18.509121  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.95035    -18.508661  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.92770    -18.508735  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.90504    -18.508549  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.88239    -18.508752  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.85974    -18.509180  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.83709    -18.509707  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   3.81444    -18.510225  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.79179    -18.510741  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.76913    -18.511532  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.74648    -18.511873  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.72383    -18.512083  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.70118    -18.512083  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.67853    -18.511873  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.65588    -18.511532  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
