#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   4.17787    -18.528054  0.000  0.019  0.019  0.018  0.000  0.000  0.001  0.000  0.004  0.061
   4.18970    -18.529566  0.000  0.019  0.019  0.018  0.000  0.000  0.001  0.000  0.003  0.061
   4.20153    -18.531362  0.000  0.020  0.020  0.019  0.000  0.000  0.001  0.000  0.002  0.061
   4.21336    -18.532771  0.000  0.020  0.020  0.019  0.000  0.000  0.001  0.000  0.002  0.061
   4.22519    -18.534278  0.000  0.020  0.020  0.019  0.000  0.000  0.001  0.000  0.002  0.061
   4.23702    -18.535532  0.000  0.020  0.020  0.019  0.000  0.000  0.000  0.000  0.001  0.061
   4.24885    -18.536700  0.000  0.020  0.020  0.019  0.000  0.000  0.000  0.000  0.001  0.061
   4.26068    -18.537776  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.001  0.061
   4.27251    -18.538410  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.001  0.061
   4.28434    -18.539302  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.001  0.061
   4.29617    -18.540098  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.30800    -18.540797  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.31983    -18.541397  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.33166    -18.541723  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.34348    -18.542127  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.35531    -18.542431  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.36714    -18.542634  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.37897    -18.542735  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.39080    -18.542735  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.40263    -18.542634  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.41446    -18.542431  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.42629    -18.542127  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.43812    -18.541723  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.44995    -18.541397  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.46178    -18.540797  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.47361    -18.540098  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.000  0.061
   4.48544    -18.539302  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.001  0.061
   4.49727    -18.538410  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.001  0.061
   4.50910    -18.537776  0.000  0.020  0.020  0.020  0.000  0.000  0.000  0.000  0.001  0.061
   4.52093    -18.536700  0.000  0.020  0.020  0.019  0.000  0.000  0.000  0.000  0.001  0.061
   4.53276    -18.535532  0.000  0.020  0.020  0.019  0.000  0.000  0.000  0.000  0.001  0.061
   4.54459    -18.534278  0.000  0.020  0.020  0.019  0.000  0.000  0.001  0.000  0.002  0.061
   4.55641    -18.532771  0.000  0.020  0.020  0.019  0.000  0.000  0.001  0.000  0.002  0.061
   4.56824    -18.531362  0.000  0.020  0.020  0.019  0.000  0.000  0.001  0.000  0.002  0.061
   4.58007    -18.529566  0.000  0.019  0.019  0.018  0.000  0.000  0.001  0.000  0.003  0.061
   4.59190    -18.528054  0.000  0.019  0.019  0.018  0.000  0.000  0.001  0.000  0.004  0.061
   4.60373    -18.526558  0.000  0.019  0.019  0.017  0.000  0.000  0.002  0.000  0.005  0.063
   4.61556    -18.525271  0.002  0.017  0.017  0.015  0.000  0.000  0.003  0.000  0.009  0.064
 
# Band-Index    2
   4.61556    -18.516532  0.014  0.003  0.003  0.005  0.000  0.000  0.012  0.000  0.037  0.074
   4.60373    -18.513353  0.014  0.002  0.002  0.004  0.000  0.000  0.013  0.000  0.040  0.075
   4.59190    -18.510055  0.014  0.001  0.001  0.004  0.000  0.000  0.014  0.000  0.042  0.076
   4.58007    -18.506833  0.014  0.001  0.001  0.003  0.000  0.000  0.014  0.000  0.043  0.076
   4.56824    -18.504429  0.014  0.001  0.001  0.003  0.000  0.000  0.014  0.000  0.044  0.076
   4.55641    -18.501507  0.014  0.000  0.000  0.003  0.000  0.000  0.014  0.000  0.044  0.076
   4.54459    -18.498758  0.014  0.000  0.000  0.002  0.000  0.000  0.014  0.000  0.044  0.076
   4.53276    -18.496184  0.014  0.000  0.000  0.002  0.000  0.000  0.015  0.000  0.045  0.076
   4.52093    -18.494122  0.014  0.000  0.000  0.001  0.000  0.000  0.015  0.000  0.045  0.076
   4.50910    -18.491923  0.014  0.000  0.000  0.001  0.000  0.000  0.015  0.000  0.045  0.076
   4.49727    -18.489914  0.014  0.000  0.000  0.001  0.000  0.000  0.015  0.000  0.045  0.076
   4.48544    -18.488098  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.47361    -18.486476  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.46178    -18.485049  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.44995    -18.483821  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.43812    -18.483197  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.42629    -18.482789  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.41446    -18.482580  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.40263    -18.482594  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.39080    -18.482392  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.37897    -18.482392  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.36714    -18.482594  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.35531    -18.482580  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.34348    -18.482788  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.33166    -18.483197  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.31983    -18.483821  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.30800    -18.485049  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.29617    -18.486476  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.28434    -18.488098  0.014  0.000  0.000  0.000  0.000  0.000  0.015  0.000  0.046  0.076
   4.27251    -18.489914  0.014  0.000  0.000  0.001  0.000  0.000  0.015  0.000  0.045  0.076
   4.26068    -18.491923  0.014  0.000  0.000  0.001  0.000  0.000  0.015  0.000  0.045  0.076
   4.24885    -18.494122  0.014  0.000  0.000  0.001  0.000  0.000  0.015  0.000  0.045  0.076
   4.23702    -18.496184  0.014  0.000  0.000  0.002  0.000  0.000  0.015  0.000  0.045  0.076
   4.22519    -18.498758  0.014  0.000  0.000  0.002  0.000  0.000  0.014  0.000  0.044  0.076
   4.21336    -18.501507  0.014  0.000  0.000  0.003  0.000  0.000  0.014  0.000  0.044  0.076
   4.20153    -18.504429  0.014  0.001  0.001  0.003  0.000  0.000  0.014  0.000  0.044  0.076
   4.18970    -18.506833  0.014  0.001  0.001  0.003  0.000  0.000  0.014  0.000  0.043  0.076
   4.17787    -18.510055  0.014  0.001  0.001  0.004  0.000  0.000  0.014  0.000  0.042  0.076
   4.16604    -18.513353  0.014  0.002  0.002  0.004  0.000  0.000  0.013  0.000  0.040  0.075
   4.15421    -18.516532  0.014  0.003  0.003  0.005  0.000  0.000  0.012  0.000  0.037  0.074
   4.15421    -18.516532  0.014  0.003  0.003  0.005  0.000  0.000  0.012  0.000  0.037  0.074
   4.13156    -18.517097  0.010  0.008  0.008  0.008  0.000  0.000  0.010  0.000  0.028  0.070
   4.10891    -18.516163  0.005  0.013  0.013  0.013  0.000  0.000  0.006  0.000  0.017  0.066
   4.08626    -18.514718  0.003  0.016  0.016  0.015  0.000  0.000  0.004  0.000  0.012  0.064
   4.06361    -18.513535  0.002  0.016  0.016  0.015  0.000  0.000  0.004  0.000  0.011  0.064
   4.04095    -18.511865  0.002  0.016  0.016  0.016  0.000  0.000  0.003  0.000  0.010  0.063
   4.01830    -18.510837  0.002  0.016  0.016  0.015  0.000  0.000  0.003  0.000  0.011  0.063
   3.99565    -18.509708  0.002  0.016  0.016  0.015  0.000  0.000  0.003  0.000  0.011  0.064
   3.97300    -18.509121  0.003  0.016  0.016  0.015  0.000  0.000  0.004  0.000  0.012  0.064
   3.95035    -18.508661  0.003  0.015  0.015  0.014  0.000  0.000  0.004  0.000  0.012  0.064
   3.92770    -18.508735  0.003  0.014  0.014  0.014  0.000  0.000  0.005  0.000  0.014  0.064
   3.90504    -18.508549  0.004  0.014  0.014  0.014  0.000  0.000  0.005  0.000  0.015  0.065
   3.88239    -18.508752  0.004  0.013  0.013  0.014  0.000  0.000  0.006  0.000  0.016  0.065
   3.85974    -18.509180  0.005  0.013  0.013  0.013  0.000  0.000  0.006  0.000  0.017  0.065
   3.83709    -18.509707  0.005  0.012  0.012  0.013  0.000  0.000  0.006  0.000  0.018  0.066
   3.81444    -18.510225  0.006  0.011  0.011  0.013  0.000  0.000  0.006  0.000  0.018  0.066
   3.79179    -18.510741  0.006  0.011  0.011  0.012  0.000  0.000  0.006  0.000  0.020  0.067
   3.76913    -18.511532  0.007  0.010  0.010  0.012  0.000  0.000  0.007  0.000  0.021  0.067
   3.74648    -18.511873  0.008  0.010  0.010  0.011  0.000  0.000  0.007  0.000  0.021  0.068
   3.72383    -18.512083  0.008  0.010  0.010  0.011  0.000  0.000  0.007  0.000  0.022  0.068
   3.70118    -18.512083  0.008  0.010  0.010  0.011  0.000  0.000  0.007  0.000  0.022  0.068
   3.67853    -18.511873  0.008  0.010  0.010  0.011  0.000  0.000  0.007  0.000  0.021  0.068
   3.65588    -18.511532  0.007  0.010  0.010  0.012  0.000  0.000  0.007  0.000  0.021  0.067
