#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   1.74938     -6.825954     -6.825954
   1.76611     -6.787029     -6.787029
   1.78284     -6.746878     -6.746878
   1.79957     -6.705669     -6.705669
   1.81630     -6.663138     -6.663138
   1.83303     -6.620546     -6.620546
   1.84976     -6.577320     -6.577320
   1.86648     -6.534022     -6.534022
   1.88321     -6.490836     -6.490836
   1.89994     -6.448063     -6.448063
   1.91667     -6.406027     -6.406027
   1.93340     -6.365069     -6.365069
   1.95013     -6.325583     -6.325583
   1.96686     -6.287965     -6.287965
   1.98359     -6.251514     -6.251514
   2.00032     -6.219012     -6.219012
   2.01705     -6.189632     -6.189632
   2.03378     -6.163849     -6.163849
   2.05051     -6.141885     -6.141885
   2.06724     -6.124532     -6.124532
   2.08397     -6.111888     -6.111888
   2.10070     -6.104200     -6.104200
   2.11743     -6.101617     -6.101617
   2.11743     -6.101617     -6.101617
   2.14700     -6.100510     -6.100510
   2.17657     -6.097234     -6.097234
   2.20615     -6.103926     -6.103926
   2.23572     -6.125314     -6.125314
   2.26529     -6.151454     -6.151454
   2.29487     -6.181255     -6.181255
   2.32444     -6.214302     -6.214302
   2.35401     -6.248795     -6.248795
   2.38359     -6.284229     -6.284229
   2.41316     -6.320651     -6.320651
   2.44274     -6.356536     -6.356536
   2.47231     -6.391711     -6.391711
   2.50188     -6.425432     -6.425432
   2.53146     -6.457939     -6.457939
   2.56103     -6.488623     -6.488623
   2.59060     -6.517159     -6.517159
   2.62018     -6.543566     -6.543566
   2.64975     -6.567294     -6.567294
   2.67932     -6.589027     -6.589027
   2.70890     -6.608604     -6.608604
   2.73847     -6.626396     -6.626396
   2.76805     -6.642233     -6.642233
   2.79762     -6.656716     -6.656716
   2.82719     -6.670325     -6.670325
   2.85677     -6.684166     -6.684166
   2.88634     -6.699129     -6.699129
   2.91591     -6.716615     -6.716615
   2.94549     -6.737626     -6.737626
   2.97506     -6.762477     -6.762477
   3.00463     -6.791115     -6.791115
   3.03421     -6.823165     -6.823165
   3.06378     -6.857424     -6.857424
   3.09336     -6.893018     -6.893018
   3.12293     -6.927211     -6.927211
   3.15250     -6.959201     -6.959201
   3.18208     -6.987819     -6.987819
   3.21165     -7.012770     -7.012770
   3.24122     -7.031766     -7.031766
   3.27080     -7.044970     -7.044970
   3.27080     -7.044970     -7.044970
   3.29345     -7.022553     -7.022553
   3.31610     -6.997525     -6.997525
   3.33875     -6.970341     -6.970341
   3.36140     -6.941193     -6.941193
   3.38406     -6.909538     -6.909538
   3.40671     -6.877129     -6.877129
   3.42936     -6.843646     -6.843646
   3.45201     -6.809530     -6.809530
   3.47466     -6.775286     -6.775286
   3.49731     -6.741511     -6.741511
   3.51997     -6.708736     -6.708736
   3.54262     -6.677579     -6.677579
   3.56527     -6.649242     -6.649242
   3.58792     -6.624042     -6.624042
   3.61057     -6.602548     -6.602548
   3.63322     -6.584724     -6.584724
   3.65588     -6.571722     -6.571722
   3.67853     -6.563084     -6.563084
   3.70118     -6.558784     -6.558784
   3.72383     -6.558784     -6.558784
   3.74648     -6.563084     -6.563084
   3.76913     -6.571722     -6.571722
   3.79179     -6.584724     -6.584724
   3.81444     -6.602548     -6.602548
   3.83709     -6.624042     -6.624042
   3.85974     -6.649242     -6.649242
   3.88239     -6.677579     -6.677579
   3.90504     -6.708736     -6.708736
   3.92770     -6.741511     -6.741511
   3.95035     -6.775286     -6.775286
   3.97300     -6.809530     -6.809530
   3.99565     -6.843646     -6.843646
   4.01830     -6.877129     -6.877129
   4.04095     -6.909538     -6.909538
   4.06361     -6.941193     -6.941193
