 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  3.5213  0.64466148E+06  0.64466148E+06  0.64466148E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5512  0.66903714E+06  0.66903714E+06  0.66903714E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5810  0.69359465E+06  0.69359465E+06  0.69359465E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6109  0.71808985E+06  0.71808985E+06  0.71808985E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6407  0.74233209E+06  0.74233209E+06  0.74233209E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6705  0.76637091E+06  0.76637091E+06  0.76637091E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7004  0.79047316E+06  0.79047316E+06  0.79047316E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7302  0.81504615E+06  0.81504615E+06  0.81504615E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7601  0.84075804E+06  0.84075804E+06  0.84075804E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7899  0.86834175E+06  0.86834175E+06  0.86834175E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8198  0.89874524E+06  0.89874524E+06  0.89874524E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8496  0.93287892E+06  0.93287892E+06  0.93287892E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8794  0.97166195E+06  0.97166195E+06  0.97166195E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9093  0.10157577E+07  0.10157577E+07  0.10157577E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9391  0.10653030E+07  0.10653030E+07  0.10653030E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9690  0.11199141E+07  0.11199141E+07  0.11199141E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9988  0.11783986E+07  0.11783986E+07  0.11783986E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0286  0.12390528E+07  0.12390528E+07  0.12390528E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0585  0.12998111E+07  0.12998111E+07  0.12998111E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0883  0.13585355E+07  0.13585355E+07  0.13585355E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1182  0.14136194E+07  0.14136194E+07  0.14136194E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1480  0.14640740E+07  0.14640740E+07  0.14640740E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
